,Country or Area,Year,Value
769,Netherlands,2004,219970.33992168
770,Netherlands,2003,218563.74472246
771,Netherlands,2002,217878.899630578
772,Netherlands,2001,220007.27908359698
773,Netherlands,2000,219304.190511779
774,Netherlands,1999,221104.558272168
775,Netherlands,1998,234437.62369454
776,Netherlands,1997,233882.299661937
777,Netherlands,1996,242076.948056714
778,Netherlands,1995,231011.58857423198
779,Netherlands,1994,230815.637062213
780,Netherlands,1993,229929.206523661
781,Netherlands,1992,229170.71726027
782,Netherlands,1991,228440.892748331
783,Netherlands,1990,220793.62573548302
784,New Zealand,2017,80853.4684178722
785,New Zealand,2016,79136.1137482773
786,New Zealand,2015,81202.02278696709
787,New Zealand,2014,81310.1353522
788,New Zealand,2013,80540.6623342333
